Tool name: tp_find_and_replace/1.1.3
Run configuration:
{   'dataset_path': '../processed_data/sampled_data/tp_find_and_replace-1.1.3_20000_samples_seed_0.txt',
    'doLogTrafo': False,
    'do_cross_validation': True,
    'model_params': {},
    'model_type': 'svr',
    'seed': 0}
Model_params: [["C", 1.0], ["cache_size", 1000], ["coef0", 0.0], ["degree", 3], ["epsilon", 0.1], ["gamma", "scale"], ["kernel", "rbf"], ["max_iter", -1], ["shrinking", true], ["tol", 0.001], ["verbose", true]]
Time for training in mins: 0.009206573168436686
Feature importance: []
Mean absolute error: 0.08758041198164547
Mean squared error: 0.06235912593442686
Root mean squared error: 0.24971809292565658
R2 Score: -0.08215728036117453
Mean cross-validation test score: -0.2037753236538601
############################
Filesize (GB), Prediction (GB), Target (GB), Create_time
############################
5.8782e-05,0.22201841475221706,0.143364096,2021-05-15 20:33:13.735753
8.3288e-05,0.22203002632532232,0.14565376,2021-08-23 06:43:35.222294
0.00023541,0.22210215037456082,0.145629184,2021-06-24 06:52:49.529009
3.5747e-05,0.22200750200008912,0.144384,2021-07-28 08:00:21.002511
5.2223e-05,0.22201530726856422,0.141193216,2021-05-12 07:47:56.496048
0.00010547,0.2220405384517219,0.147193856,2021-06-24 15:25:31.158647
3.5015e-05,0.22200715524657166,0.14135296,2021-05-01 16:28:45.835868
7.54e-07,0.22199092756753203,0.125222912,2020-12-14 17:29:09.800896
2.9282e-05,0.2220044395460956,0.141176832,2021-05-06 13:11:31.73421
0.000157836,0.22206536137926447,0.141545472,2021-04-28 01:47:30.665019
6.7685e-05,0.2220226329913193,0.144822272,2021-07-31 20:31:13.852747
6.4818e-05,0.2220212745786463,0.144699392,2021-10-04 04:48:29.169065
6.8555e-05,0.22202304521125082,0.139001856,2021-11-19 04:49:42.940692
3.5122e-05,0.22200720593310708,0.145084416,2021-06-11 20:40:08.215416
0.000231389,0.22210024294754804,0.14944256,2021-11-27 12:30:51.298525
6.3145e-05,0.22202048190751134,0.141172736,2021-05-16 00:37:14.782326
9.7672e-05,0.22203684276584612,0.144900096,2021-07-29 13:38:46.699446
7.8e-08,0.22199060742031795,0.1230848,2021-01-22 11:38:37.309361
7.0767e-05,0.22202409330362527,0.1445888,2021-07-06 08:59:48.043237
0.000328511,0.22214632940557122,0.142053376,2021-04-17 21:28:25.89813
0.000263784,0.22211561157488058,0.141893632,2021-04-27 23:49:38.5421
3.3269e-05,0.22200632816136556,0.14127104,2021-05-01 21:40:32.292045
7.6416e-05,0.22202676999320925,0.141504512,2021-05-10 06:35:16.848481
0.000124036,0.22204933820277617,0.141524992,2021-04-28 02:15:20.548906
7.0882e-05,0.2220241477935021,0.144572416,2021-10-10 12:49:49.564576
7.0615e-05,0.22202402128228904,0.144953344,2021-07-11 06:59:52.5249
1.9265e-05,0.22199969479367,0.14116864,2021-04-26 01:40:48.542065
6.9649e-05,0.2220235635695471,0.141344768,2021-05-04 05:19:38.433778
