Tool name: gmx_sim/2020.4+galaxy0
Run configuration:
{   'dataset_path': '../experiments/Experiment 6 - HPO & Comparison to '
                    'Galaxy/data/low memory/gmx_sim-2020.4.txt',
    'doHPO': True,
    'model_params': {'random_state': 0},
    'model_type': 'xgb',
    'seed': 0}
Model_params: [   ('base_score', 0.5),
    ('booster', 'gbtree'),
    ('callbacks', None),
    ('colsample_bylevel', 1),
    ('colsample_bynode', 1),
    ('colsample_bytree', 1),
    ('early_stopping_rounds', None),
    ('enable_categorical', False),
    ('eval_metric', None),
    ('gamma', 0),
    ('gpu_id', -1),
    ('grow_policy', 'depthwise'),
    ('importance_type', None),
    ('interaction_constraints', ''),
    ('learning_rate', 0.03),
    ('max_bin', 256),
    ('max_cat_to_onehot', 4),
    ('max_delta_step', 0),
    ('max_depth', 6),
    ('max_leaves', 0),
    ('min_child_weight', 1),
    ('missing', nan),
    ('monotone_constraints', '()'),
    ('n_estimators', 100),
    ('n_jobs', 2),
    ('num_parallel_tree', 1),
    ('objective', 'reg:squarederror'),
    ('predictor', 'auto'),
    ('random_state', 0),
    ('reg_alpha', 0),
    ('reg_lambda', 1),
    ('sampling_method', 'uniform'),
    ('scale_pos_weight', 1),
    ('subsample', 1),
    ('tree_method', 'exact'),
    ('validate_parameters', 1),
    ('verbosity', None)]
Time for training in mins: 2.2400795102119444
Feature importance: [0.18223457 0.05896585 0.7587996 ]
Mean absolute error: 0.25498433066744775
Mean squared error: 4.484926878730507
Root mean squared error: 2.11776459473911
R2 Score: 0.01291602113069934
CV Results:
     iter  n_resources  mean_fit_time  std_fit_time  mean_score_time  std_score_time param_learning_rate param_max_depth param_n_estimators                                                                         params  split0_test_score  split1_test_score  split2_test_score  split3_test_score  split4_test_score  mean_test_score  std_test_score  rank_test_score  split0_train_score  split1_train_score  split2_train_score  split3_train_score  split4_train_score  mean_train_score  std_train_score
0       0          125       0.092065  6.547455e-03         0.012009    8.056168e-03               0.003               2                 50                   {'learning_rate': 0.003, 'max_depth': 2, 'n_estimators': 50}          -0.036279           0.075287          -0.026280          -0.336662          -0.036642        -0.072115        0.138821              118            0.105717            0.135721            0.139250            0.113864            0.140567          0.127024         0.014392
1       0          125       0.129492  1.084452e-02         0.004003    6.327868e-04               0.003               2                100                  {'learning_rate': 0.003, 'max_depth': 2, 'n_estimators': 100}          -0.037121           0.198009          -0.017860          -0.133660          -0.037544        -0.005635        0.109563              103            0.267671            0.253387            0.259576            0.242534            0.262033          0.257040         0.008581
2       0          125       0.243373  1.019350e-02         0.005204    1.940402e-03               0.003               2                200                  {'learning_rate': 0.003, 'max_depth': 2, 'n_estimators': 200}          -0.038492           0.364045          -0.003060           0.148018          -0.039019         0.086298        0.155058               96            0.493711            0.438607            0.451844            0.443219            0.454919          0.456460         0.019521
3       0          125       0.567004  1.907720e-02         0.003803    4.001619e-04               0.003               2                500                  {'learning_rate': 0.003, 'max_depth': 2, 'n_estimators': 500}          -0.040820           0.461257           0.029002           0.455068          -0.041624         0.172577        0.234594               76            0.772190            0.745157            0.776686            0.768970            0.777454          0.768091         0.011875
4       0          125       0.097268  4.836584e-03         0.004003    6.331638e-04               0.003               6                 50                   {'learning_rate': 0.003, 'max_depth': 6, 'n_estimators': 50}          -0.036436           0.085299          -0.026184          -0.340041          -0.036675        -0.070808        0.142263              117            0.124883            0.141705            0.139465            0.115161            0.141040          0.132451         0.010628
5       0          125       0.169320  1.300788e-02         0.003803    4.005909e-04               0.003               6                100                  {'learning_rate': 0.003, 'max_depth': 6, 'n_estimators': 100}          -0.037401           0.219062          -0.017668          -0.146304          -0.037665        -0.003995        0.120368              102            0.303160            0.264718            0.259981            0.245126            0.263238          0.267245         0.019258
6       0          125       0.301415  1.661729e-02         0.003803    4.002572e-04               0.003               6                200                  {'learning_rate': 0.003, 'max_depth': 6, 'n_estimators': 200}          -0.038996           0.406953          -0.002701           0.125763          -0.039300         0.090344        0.169523               92            0.552611            0.458911            0.452534            0.447888            0.457128          0.473815         0.039584
7       0          125       0.729119  3.597348e-02         0.004003    3.234067e-07               0.003               6                500                  {'learning_rate': 0.003, 'max_depth': 6, 'n_estimators': 500}          -0.041853           0.654528           0.029764           0.456090          -0.042089         0.211288        0.289006               65            0.862106            0.780217            0.777779            0.776885            0.780564          0.795510         0.033327
8       0          125       0.092465  9.400510e-03         0.003202    4.006149e-04               0.003              16                 50                  {'learning_rate': 0.003, 'max_depth': 16, 'n_estimators': 50}          -0.036435           0.085060          -0.026171          -0.351138          -0.036675        -0.073072        0.146419              119            0.126935            0.141984            0.139489            0.115583            0.141040          0.133006         0.010272
9       0          125       0.186332  2.366738e-02         0.003403    4.904660e-04               0.003              16                100                 {'learning_rate': 0.003, 'max_depth': 16, 'n_estimators': 100}          -0.037414           0.218923          -0.017644          -0.159888          -0.037659        -0.006736        0.123607              104            0.305891            0.265289            0.260015            0.246064            0.263339          0.268120         0.020048
10      0          125       0.430106  4.858714e-02         0.004003    2.780415e-07               0.003              16                200                 {'learning_rate': 0.003, 'max_depth': 16, 'n_estimators': 200}          -0.039030           0.404952          -0.002654           0.113809          -0.039285         0.087559        0.168333               93            0.557027            0.460347            0.452589            0.449624            0.457440          0.475406         0.040980
11      0          125       0.900442  6.907818e-02         0.003803    7.488890e-04               0.003              16                500                 {'learning_rate': 0.003, 'max_depth': 16, 'n_estimators': 500}          -0.041876           0.643813           0.029855           0.446658          -0.042144         0.207261        0.284124               70            0.870632            0.783509            0.777971            0.780040            0.781355          0.798701         0.036011
12      0          125       0.076054  5.971040e-03         0.003603    4.900573e-04               0.003              32                 50                  {'learning_rate': 0.003, 'max_depth': 32, 'n_estimators': 50}          -0.036435           0.085060          -0.026171          -0.351138          -0.036675        -0.073072        0.146419              119            0.126935            0.141984            0.139489            0.115583            0.141040          0.133006         0.010272
13      0          125       0.181329  1.644837e-02         0.003602    4.900383e-04               0.003              32                100                 {'learning_rate': 0.003, 'max_depth': 32, 'n_estimators': 100}          -0.037414           0.218923          -0.017644          -0.159888          -0.037659        -0.006736        0.123607              104            0.305891            0.265289            0.260015            0.246064            0.263339          0.268120         0.020048
14      0          125       0.363659  4.348515e-02         0.004003    6.330129e-04               0.003              32                200                 {'learning_rate': 0.003, 'max_depth': 32, 'n_estimators': 200}          -0.039030           0.404952          -0.002654           0.113809          -0.039285         0.087559        0.168333               93            0.557027            0.460347            0.452589            0.449624            0.457440          0.475406         0.040980
15      0          125       0.971692  7.527866e-02         0.004403    4.902518e-04               0.003              32                500                 {'learning_rate': 0.003, 'max_depth': 32, 'n_estimators': 500}          -0.041876           0.643813           0.029855           0.446634          -0.042144         0.207256        0.284120               71            0.870639            0.783509            0.777971            0.780023            0.781355          0.798699         0.036015
