Tool name: rna_star/2.7.5b
Run configuration:
{   'dataset_path': '../experiments/Experiment 2 - '
                    'Transformations/data/rna_star-2.7.5b/rna_star-2.7.5b-ready.txt',
    'do_cross_validation': True,
    'model_params': {},
    'model_type': 'lr',
    'remove_outliers': True,
    'seed': 0}
Model_params: [["copy_X", true], ["fit_intercept", true], ["n_jobs", null], ["normalize", "deprecated"], ["positive", false]]
Time for training in mins: 0.0005210240681966146
Percentage above mean + 2 * std that got removed: 2.36724248240563%
Feature importance: []
Mean absolute error: 22.777968362129357
Mean squared error: 2660.7178673646013
Root mean squared error: 51.582146789025764
R2 Score: 0.038541524073746114
Mean cross-validation test score: 0.19144378959183633
############################
Filesize (GB), Prediction (GB), Target (GB), Create_time
############################
1.357152446,49.601841373858186,52.4030976,2020-09-20 16:25:57.848894
0.852787726,48.329585192343266,44.812140544,2020-09-15 18:00:30.49525
0.881415978,48.402462138679795,42.987978752,2020-09-15 18:00:34.216964
2.970982794,53.72172678383587,47.190290432,2020-10-19 14:26:30.644752
3.483838958,55.01559904266866,49.1044864,2020-10-15 11:30:34.941599
4.612605831,57.90069216293951,134.14490112,2020-10-01 12:48:01.260561
0.838956115,48.29437502398948,40.029913088,2020-09-15 18:00:34.008148
7.679324892,65.7074251914772,54.213607424,2020-09-14 19:00:03.356651
2.606119073,52.76957874711734,71.04047104,2021-05-31 13:11:43.931601
4.742963345,58.23253420318497,63.437156352,2020-10-07 13:47:21.634632
3.847350747,55.95263561759325,686.150561792,2020-09-14 19:00:03.310692
3.773351856,55.76426179692235,59.48891136,2020-12-01 18:16:24.446603
5.826243835,60.99016586498311,94.28844544,2020-10-03 20:58:27.707313
0.77232062,48.124745687443784,40.139464704,2020-09-15 18:00:30.844094
1.481471267,49.9066411913995,23.978532864,2021-06-15 08:40:41.498204
2.936181584,53.633135768442536,46.090149888,2020-10-14 07:19:48.373315
0.353641527,47.0706134361182,9.854660608,2020-10-14 08:17:10.444536
1.820577004,50.79321892303251,42.558148608,2020-10-08 07:17:34.522251
0.401861105,47.193362655954466,10.634027008,2020-09-16 10:11:25.437374
34.420017657,133.77934350617028,88.61997056,2020-10-16 03:40:53.705761
5.547764172,60.281259590989684,73.63842048,2020-09-24 14:05:44.083237
4.131450125,56.67584760848765,65.081163776,2020-12-01 16:39:09.316146
1.043647782,48.803774395316196,48.564154368,2020-11-16 13:39:06.545122
0.806274682,48.211180177201705,41.3198336,2020-09-15 18:00:30.417243
4.112019497,56.62638441268928,178.70901248,2020-12-01 16:39:09.285872
1.007106198,48.710753031098086,33.764814848,2020-11-16 18:38:03.954856
11.827158432,76.2662760185352,89.171922944,2020-08-30 18:19:47.666133
8.368500137,67.46181059182673,24.836046848,2020-08-18 13:42:43.910033
0.784343605,48.15535176261211,40.594591744,2020-09-15 18:00:30.856941
0.78474838,48.15638217012541,41.994350592,2020-09-15 18:00:33.192396
3.647947437,55.445028505493084,84.857040896,2020-10-01 12:49:13.478952
2.190081975,51.73384198107485,34.78511616,2021-01-21 10:43:13.075101
0.269933404,46.83418361466689,44.673298432,2020-12-01 16:03:34.480028
4.649021819,57.99339380617178,71.278370816,2020-08-15 11:27:45.220246
3.481522825,55.021372966978156,16.455348224,2020-11-28 10:29:42.838082
