Tool name: snpSift_filter/4.3+t.galaxy1
Dataset_path: ../processed_data/sampled_data/snpSift_filter-4.3+t.galaxy1_20000_samples_seed_0.txt
Is_mixed_data: False
Seed: 0
Model_params: ["n_estimators: 200", "max_depth: None", "random_state: 0", "bootstrap: True", "min_samples_leaf: 1", "criterion: absolute_error"]
Time for training in mins: 11.70578283071518
Feature importance: [1. 0. 0.]
Mean absolute error: 0.8353083695206401
Mean squared error: 64.51564474227244
Root mean squared error: 8.032163142159927
R2 Score: -0.01082440703690013
Mean absolute error with uncertainty: 0.9161000765184001
Mean squared error with uncertainty: 65.42299855589704
Root mean squared error with uncertainty: 8.088448464068806
R2 Score with uncertainty: -0.025040732151431655
############################
Filesize, Prediction, Target, Create_time
############################
0.000504186,0.14671388672000021,0.144859136,2021-10-03 13:59:17.868878
0.000128714,0.1448252416000001,0.145362944,2021-09-16 00:37:55.74612
0.00011079999999999998,0.1478526259200003,0.148496384,2021-11-17 02:37:52.150656
7.1841e-05,0.14765727744000043,0.142819328,2021-04-30 18:37:13.434097
0.00039807,0.1460786278400005,0.142594048,2021-04-12 13:57:36.923181
0.00011108199999999998,0.14308948992000026,0.14424064,2021-03-30 13:26:32.689064
8.072299999999999e-05,0.14881918975999991,0.148025344,2021-07-20 11:50:22.811157
7.290300000000003e-05,0.14629902336000025,0.141565952,2021-05-05 16:40:47.504843
0.00011014200000000003,0.14276923392000007,0.145117184,2021-08-04 09:44:37.7277
1.6159999999999656e-06,0.14545814528000023,0.144318464,2021-04-14 00:13:38.954482
0.000234702,0.1485810688000004,0.147226624,2021-07-11 16:36:14.94365
9.4075e-05,0.14465710079999983,0.146890752,2021-09-11 04:37:00.877692
0.0016170309999999997,1.9575066828800016,0.150675456,2021-11-28 11:45:25.145422
6.246699999999997e-05,0.13327966208000022,0.145010688,2021-07-01 20:13:32.723594
0.000242739,0.14696074240000034,0.141664256,2021-05-13 18:33:08.542793
0.00015856400000000004,0.1419279360000001,0.147361792,2021-11-02 14:46:06.242982
9.054400000000002e-05,0.14154734591999976,0.141574144,2021-05-08 18:33:32.418877
6.608799999999995e-05,0.1469275136000002,0.148926464,2021-09-01 06:37:21.662744
