Tool name: ivar_removereads/1.2.2+galaxy1
Dataset_path: ../experiments/Experiment 1 - Removing faulty data/data/ivar_removereads-1.2.2/Ready/ivar_removereads-1.2.2-combined.txt
Seed: 0
Model_params: [["C", 1.0], ["cache_size", 1000], ["coef0", 0.0], ["degree", 3], ["epsilon", 0.1], ["gamma", "scale"], ["kernel", "rbf"], ["max_iter", -1], ["shrinking", true], ["tol", 0.001], ["verbose", true]]
Time for training in mins: 0.09534334739049276
Feature importance: []
Mean absolute error: 6.08014287714065
Mean squared error: 1131.0561349138497
Root mean squared error: 33.63117801852694
R2 Score: -0.032267564974527874
############################
Filesize (GB), Prediction (GB), Target (GB), Create_time
############################
0.130099326,0.5948508378657138,0.5323776,2021-04-16 08:09:24.293108
0.012708682,0.2705725810862456,0.160047104,2020-10-20 19:46:37.727282
0.099652771,0.5095891793967919,0.441483264,2021-03-31 18:15:07.404031
0.122614047,0.5738195800953136,0.506056704,2021-05-13 13:07:20.258136
0.027328934,0.310272256682959,0.206639104,2021-03-05 20:42:19.89212
0.147785745,0.6447183825566556,0.584097792,2021-05-14 00:24:53.769562
0.034647156,0.3302217841199808,0.251219968,2021-06-10 15:30:54.717771
0.01498471,0.2767391327648241,0.19521536,2021-07-14 19:38:50.407342
0.018284895,0.2856895341588632,0.195547136,2021-05-10 07:03:45.755156
0.113786618,0.5490751134660543,0.483299328,2021-05-03 16:17:49.759245
0.117223992,0.5587030267722264,0.496254976,2021-04-26 13:04:51.063245
0.037750467,0.3386968622346298,0.257990656,2021-07-20 15:40:58.196038
0.013259476,0.27206440492173223,0.199053312,2020-12-14 10:02:30.243414
0.16840537,0.7031549254348513,0.647704576,2021-04-01 12:29:17.654
0.065819329,0.41576039954312605,0.322207744,2021-01-07 12:01:11.027601
0.059918294,0.3994989248149179,0.321183744,2021-05-14 19:14:05.969992
0.127041714,0.5862545361137832,0.52084736,2021-05-11 09:08:59.856238
0.743064307,2.397131080505515,1.908805632,2021-01-10 15:04:03.495561
0.146022877,0.6397371077963092,0.576581632,2021-05-13 18:22:31.808596
0.229891892,0.8791697544781809,0.815345664,2020-12-25 10:15:38.849635
0.076137022,0.4442679075288074,0.369872896,2021-04-17 01:57:21.396641
3.843e-06,0.2362453261949844,0.2724864,2022-03-28 05:56:43.17571
0.114313613,0.5505505751023156,0.485384192,2021-04-29 13:58:09.268263
0.12285173,0.5744867068689163,0.510124032,2021-05-02 14:13:40.264323
0.061288175,0.40327109418568274,0.325865472,2021-05-08 14:10:59.06858
0.050679894,0.37410441108602743,0.306868224,2021-11-29 15:39:49.923806
0.142444574,0.6296333058551948,0.569413632,2021-04-28 19:18:40.488089
0.148527629,0.6468154032832638,0.587403264,2021-05-13 13:07:20.265218
0.091220051,0.4861103515622489,0.395485184,2021-03-09 16:47:46.083695
0.077329455,0.44756865618158415,0.375177216,2021-03-31 04:12:00.413268
0.018389332,0.2859729511342317,113.761984512,2020-10-20 23:45:31.950828
0.187926973,0.7587626704112009,0.699273216,2021-04-26 19:35:15.905527
0.119219065,0.564295528697057,0.50153472,2021-04-21 11:06:36.030769
0.083215462,0.46387986459318364,0.309112832,2021-04-08 12:00:02.349495
0.078414937,0.4505744440573507,0.378105856,2021-04-08 16:10:50.266894
0.08536115,0.46983347546180254,0.397873152,2021-04-30 10:31:01.698471
0.120732992,0.568541449993422,0.498868224,2021-04-24 16:27:12.069723
0.117096182,0.5583448652732763,0.492306432,2021-05-02 22:05:06.904979
0.07640221,0.44500186050092183,0.372137984,2021-04-14 02:08:53.403311
0.12699533,0.5861241872041942,0.5298176,2021-04-30 06:41:35.793898
0.070160582,0.4277436028936472,0.333570048,2021-03-01 07:04:35.289213
0.106851598,0.5296799399178951,0.460853248,2021-04-25 15:56:17.57074
0.165875068,0.6959671556425961,0.639913984,2021-05-08 16:47:31.577434
0.008716287,0.2597681698394083,0.168022016,2021-03-17 13:59:31.816523
0.099615565,0.5094854562390545,0.443621376,2021-04-11 16:18:27.636925
0.068786226,0.42394812897801626,0.348463104,2021-04-25 14:05:23.117351
0.040078132,0.34505965346750034,0.261206016,2021-04-17 15:16:59.040963
0.094656038,0.49566971706463403,0.426070016,2021-04-02 21:04:58.379136
0.131939361,0.6000275499859942,0.541253632,2021-03-31 01:04:30.408658
0.092853643,0.49065396195086053,0.416915456,2021-04-27 00:51:46.196893
0.001489528,0.2402511606736113,0.14585856,2021-05-03 07:20:41.712286
0.106687031,0.5292201775570189,0.461938688,2021-04-22 14:24:54.283778
0.103034312,0.5190211188366247,0.450994176,2021-05-07 00:27:50.773132
0.071044171,0.4301846462178156,0.354701312,2021-05-06 20:22:29.611121
0.093636836,0.4928331132431971,0.422678528,2021-04-29 19:19:46.534668
0.160825667,0.6816373655911907,0.602935296,2021-03-08 11:11:15.212784
0.195533856,0.7805026721408554,0.707682304,2021-03-06 18:17:47.196923
0.04239294,0.35139236520232764,0.269918208,2021-03-23 12:51:24.239661
0.114248382,0.5503679313937637,0.485658624,2021-04-03 03:30:37.62865
0.129803235,0.5940180715145977,2.017517568,2021-05-13 18:22:31.833149
0.11177989,0.5434588288648687,0.474537984,2021-04-24 06:40:09.211626
0.080136041,0.4553424409569333,0.382242816,2021-04-15 20:43:49.240425
0.114778266,0.5518516819693173,0.486903808,2021-05-04 01:51:12.955979
0.11050377,0.5398890354692472,0.473407488,2021-05-02 20:41:59.228619
0.164552796,0.6922128563397489,0.633266176,2021-05-02 13:03:39.525514
0.1658439,0.6958786463627138,0.639905792,2021-04-17 05:57:28.720872
0.057877189,0.3938816085014256,0.312836096,2021-05-14 03:51:47.636873
0.135270809,0.6094069312143444,0.547815424,2021-05-02 22:06:29.446622
0.11469586,0.5516209184012777,0.482234368,2021-05-01 23:58:02.045076
0.030585412,0.3191431033050276,0.214716416,2021-03-06 18:18:10.430476
0.05145858,0.37624183481363205,0.2973696,2021-06-08 20:12:46.211869
0.008623414,0.2595170207477253,0.147857408,2020-10-20 08:35:15.092045
0.044633562,0.35752691529821257,0.275697664,2021-04-27 00:51:46.116296
0.001285512,0.2397009430973316,0.150667264,2021-06-08 20:12:05.105168
0.126040682,0.5834418030605104,0.520196096,2021-05-17 10:17:07.717963
0.204749605,0.8068928398990576,0.751026176,2021-04-26 07:17:35.092573
0.082971794,0.46320401529465793,0.390152192,2021-05-04 16:42:25.871417
0.01026441,0.2639558985628532,0.174723072,2021-03-31 18:15:07.423157
0.044649972,0.3575718612204717,0.25798656,2021-03-09 16:48:21.586847
0.134987748,0.6086096619130006,0.547151872,2021-04-17 00:30:45.557467
0.095526728,0.4980936877299842,0.429617152,2021-04-18 18:05:05.709053
0.108830471,0.5352102128787581,0.464879616,2021-05-02 13:03:39.565609
0.074654379,0.440165584156196,0.346771456,2021-03-06 21:41:16.537102
0.401941805,1.382616534438923,1.321984,2021-01-10 15:03:16.147354
0.005323474,0.2505988333048732,0.153489408,2021-05-19 11:48:39.948209
0.120770301,0.5686461091993873,0.505147392,2021-04-27 18:14:04.647175
0.085519459,0.47027289145405926,0.397840384,2021-05-04 11:32:24.594013
0.115760827,0.5546035984344277,0.471576576,2021-03-08 13:56:47.067735
0.03853234,0.34083358101160655,0.257314816,2021-04-26 19:29:03.949964
0.030989107,0.3202435027020014,0.23410688,2021-04-24 14:45:42.877087
0.132877936,0.6026691407045128,0.534675456,2021-05-05 16:30:38.42314
0.020452026,0.29157279319479557,0.163217408,2020-10-20 19:46:37.687721
0.103644084,0.5207229403386251,0.455520256,2021-03-30 07:53:52.99185
0.122949257,0.5747604579906149,0.5129216,2021-04-11 06:49:22.49043
0.004459559,0.2482658735188572,0.13893632,2021-01-07 12:01:10.974086
0.031294278,0.32107544714832037,0.244191232,2021-07-14 19:38:50.420182
0.082592005,0.4621507172904653,0.370429952,2021-01-07 12:01:11.051815
0.066605028,0.4179279198053669,0.347578368,2021-06-10 15:30:54.711757
0.110035598,0.5385797160660883,0.470941696,2021-05-11 04:24:18.543305
0.011645277,0.26769320024623444,0.176156672,2021-04-24 14:45:42.905283
0.161160902,0.6825881569230392,0.603795456,2021-01-07 12:01:11.161278
0.107260303,0.5308218648663854,0.465055744,2021-05-11 14:37:37.694881
0.097860825,0.5045949044228326,0.434393088,2021-04-27 21:17:24.989762
0.022629996,0.29749009265453497,0.206065664,2021-04-23 05:39:07.648168
0.047055558,0.36416332506948557,0.283086848,2021-05-05 20:26:01.005894
0.129975059,0.5945013241309629,0.532135936,2021-04-28 19:21:26.668642
0.136945837,0.6141260911124136,121.633509376,2021-04-14 02:08:53.423897
0.096850475,0.5017801859128068,0.430522368,2021-05-14 06:57:31.003561
0.113369401,0.5479071653177243,0.4834304,2021-04-08 16:09:29.530738
0.292100305,1.0596017213891606,1.019252736,2021-05-15 20:40:06.637914
0.150313103,0.6518639577245315,0.591306752,2021-05-04 03:32:37.844276
3.843e-06,0.2362453261949844,0.248832,2022-04-04 11:54:57.635036
0.104757603,0.5238314774418711,0.457654272,2021-04-12 15:04:10.017091
0.023378599,0.29952502811778037,0.211570688,2021-04-17 15:16:17.45801
