Tool name: trinity/2.9.1
Dataset_path: saved_data/testset_trinity-2.9.1_2022_08_30-02_45_02_PM.txt
Is_mixed_data: False
Mean absolute error: 260.42101693301043
Mean squared error: 120345.4106627323
Root mean squared error: 346.908360612327
R2 Score: -0.5360239781917142
############################
Filesize, Prediction, Target, Create_time
############################
1.684964592,512.0,492.403740672,2021-06-17 10:56:31.111964
12.267605414,512.0,510.62833152,2021-02-22 01:56:26.536144
16.050436608,512.0,515.263475712,2021-07-23 12:37:52.00126
26.213237845,512.0,533.1489792,2020-07-31 18:22:19.98019
49.448306554,512.0,557.777444864,2021-03-10 14:34:23.943359
0.176964788,512.0,2.512613376,2020-06-29 13:58:08.12124
0.097742352,512.0,0.779886592,2020-06-27 02:12:12.064426
21.24335334,512.0,530.10731008,2021-02-06 19:04:28.447283
4.09023411,512.0,523.651141632,2022-03-12 13:58:44.239156
9.322642848,512.0,51.528040448,2020-12-23 16:28:53.172213
10.112398549,512.0,527.033315328,2021-06-03 17:24:09.569227
39.931381668,512.0,517.467611136,2020-07-20 16:07:34.481986
21.518753233,512.0,552.051802112,2021-08-09 16:21:09.807986
32.111972918,512.0,516.32709632,2021-02-18 02:14:23.328227
0.07808064,512.0,3.5545088,2021-09-05 11:52:06.288218
0.00037166,512.0,1.836793856,2020-04-09 09:54:22.603973
43.063188738,512.0,585.333702656,2021-02-01 17:25:28.892092
48.027470711,512.0,552.051798016,2021-12-12 09:24:34.703494
7.914781204,512.0,17.786421248,2021-01-11 19:47:20.660346
0.176691652,512.0,2.276462592,2020-06-26 13:26:44.223741
0.25213442,512.0,2.988130304,2020-07-13 10:58:21.347463
36.658530087,512.0,552.05179392,2021-10-26 12:52:45.589386
0.0276648,512.0,0.702754816,2020-06-27 03:43:59.072426
18.534050352,512.0,527.985373184,2021-04-18 02:03:47.43892
23.49632877,512.0,512.18552832,2021-02-22 01:52:17.424272
35.611150122,512.0,777.111552,2020-10-05 10:48:48.01064
0.195782057,512.0,1.927319552,2021-01-24 15:55:17.634199
31.043618726,512.0,540.95566848,2020-06-06 12:09:18.93387
3.037591965,512.0,11.220754432,2021-02-12 19:22:22.763303
36.209559694,512.0,521.940471808,2020-07-29 10:07:40.678485
23.428447452,512.0,541.948338176,2022-02-22 04:47:45.003021
4.956516481,512.0,509.592633344,2021-06-30 10:13:43.577928
25.791985076,512.0,510.954909696,2020-05-25 16:51:59.483571
23.894939544,512.0,519.864582144,2021-03-05 00:56:37.78224
22.423062888,512.0,510.800072704,2021-03-18 04:04:44.494265
24.376734328,512.0,586.981564416,2021-01-29 05:27:12.997483
74.987566812,512.0,566.05210624,2020-09-16 05:00:09.793131
1.755519868,512.0,28.351143936,2021-11-04 15:48:29.511062
121.585921304,512.0,552.88459264,2021-02-01 18:46:51.153044
101.906991288,512.0,542.260518912,2021-02-01 04:37:37.920263
0.290726314,512.0,2.335858688,2021-11-23 12:53:47.422178
0.194418176,512.0,2.770497536,2020-06-26 06:51:57.061969
4.092e-06,512.0,0.6728704,2020-05-05 18:52:56.505788
0.083570796,512.0,2.12107264,2021-02-12 22:38:42.761544
0.031415948,512.0,859.843354624,2020-11-21 21:29:00.991667
14.94078472,512.0,510.398636032,2020-11-30 23:46:37.839836
18.240538008,512.0,533.228552192,2021-03-17 18:47:23.179417
24.27135911,512.0,515.63440128,2020-07-04 12:17:36.998988
0.134372672,512.0,552.051933184,2021-10-13 15:07:09.057462
80.400028778,512.0,57.955700736,2021-04-07 07:09:04.769581
11.287890336,512.0,64.024117248,2021-03-04 04:37:32.126106
0.339663664,512.0,3.127222272,2020-06-25 13:11:29.931032
15.928008204,512.0,552.051802112,2021-09-07 00:12:16.830182
3.8426e-05,512.0,1.930825728,2020-04-18 13:12:02.05169
0.048944644,512.0,2.05965312,2020-06-16 07:09:50.748302
32.98619034,512.0,524.00914432,2021-03-03 11:18:17.458783
18.783223468,512.0,153.935826944,2020-05-26 09:38:32.298206
21.600167676,512.0,502.576713728,2020-06-03 08:44:01.438034
23.639575132,512.0,519.00803072,2021-04-26 21:18:30.924446
16.239867272,512.0,54.855258112,2021-06-23 01:49:55.805818
0.416727296,512.0,9.275400192,2021-09-03 01:57:12.503754
17.71252398,512.0,41.313808384,2020-07-23 13:26:40.705177
0.780604984,512.0,6.407970816,2021-08-10 18:01:23.271007
134.960039168,512.0,666.006167552,2020-11-09 14:30:06.197471
24.700021934,512.0,517.644947456,2020-07-11 11:54:47.52329
67.046593822,512.0,640.307388416,2020-04-16 18:34:03.415425
8.698e-06,512.0,0.670175232,2020-07-21 15:47:29.590465
1.9213e-05,512.0,1.059405824,2020-03-07 01:11:48.240754
2.988291856,512.0,33.671036928,2021-05-26 06:37:25.761328
0.010178367,512.0,1.64605952,2021-04-08 16:44:03.077948
6.412536162,512.0,22.770745344,2021-02-06 20:05:54.556337
0.009651516,512.0,1.879396352,2020-05-13 17:26:22.340563
16.651901056,512.0,33.505742848,2021-01-03 14:12:17.924389
17.015959476,512.0,517.57211648,2022-02-18 20:22:05.663743
24.475522588,512.0,709.378490368,2020-08-07 07:45:21.636055
107.239031004,512.0,604.960546816,2020-08-13 06:25:47.235123
38.39139716,512.0,571.361763328,2020-05-13 13:51:40.634852
4.725569902,512.0,552.053530624,2021-08-05 10:38:01.364533
49.94365214,512.0,552.051847168,2021-07-18 11:19:01.852723
14.882429952,512.0,658.849550336,2021-01-10 05:29:26.841059
0.207676632,512.0,2.545537024,2020-07-03 08:26:19.399766
2.028674626,512.0,31.192141824,2021-07-22 16:17:29.708537
0.420245212,512.0,2.20749824,2020-12-01 08:27:33.045363
20.05973848,512.0,514.988609536,2020-07-06 15:29:53.395839
12.557463076,512.0,42.62340608,2021-07-12 05:54:03.392883
0.097972212,512.0,537.613811712,2020-09-16 08:01:17.238647
32.260947936,512.0,510.446485504,2022-04-05 00:40:59.355277
29.52664893,512.0,524.38515712,2020-08-19 13:23:21.191188
39.914617184,512.0,535.394746368,2020-05-26 17:29:24.356147
93.199641699,512.0,552.052011008,2021-11-26 09:35:04.548376
19.279850572,512.0,515.15621376,2020-11-04 14:07:00.573366
48.34489712,512.0,570.670657536,2021-03-09 13:18:51.209608
0.420245212,512.0,2.276052992,2020-12-01 08:27:33.773487
0.009748173,512.0,1.56729344,2021-04-08 16:33:56.024009
9.778975525,512.0,18.276200448,2020-12-15 10:05:29.093864
5.59445761,512.0,508.864561152,2021-10-27 18:42:36.942682
18.02728396,512.0,50.87571968,2020-09-22 09:54:30.91223
99.85587642,512.0,597.030662144,2020-08-14 13:55:28.984
24.063088652,512.0,510.991507456,2020-08-02 20:34:13.588318
7.6852e-05,512.0,1.904447488,2020-04-26 04:29:33.21162
231.019202786,512.0,552.051798016,2021-11-01 03:31:19.965009
1.9213e-05,512.0,0.965169152,2020-06-14 04:09:52.663222
7.1012e-05,512.0,1.833447424,2020-06-13 02:44:02.702208
37.555590984,512.0,519.386939392,2020-08-27 09:21:39.114791
74.699397324,512.0,553.43151104,2020-05-29 06:15:52.077139
0.002909068,512.0,546.79676928,2020-05-28 01:31:05.736891
